# Trinity PE 2949 AOB / offset manifest
# generated by tools/audit/pe2949_audit.py from the current source tree
# format: <file>:<line>:<kind>	<symbol>	<pattern|value>

src/game/offsets.h:27:offset	kMinPointer	0x10000000
src/game/offsets.h:43:offset	kOff_Owner_Actor	0x68
src/game/offsets.h:44:offset	kOff_Actor_StatusMarker	0x20
src/game/offsets.h:45:offset	kOff_Owner_ObjectType	0x48
src/game/offsets.h:72:offset	kOff_StatEntry_Type	0x00
src/game/offsets.h:73:offset	kOff_StatEntry_Current	0x08
src/game/offsets.h:74:offset	kOff_StatEntry_Base	0x18
src/game/offsets.h:75:offset	kOff_StatEntry_Norm	0x20
src/game/offsets.h:76:offset	kOff_StatEntry_Floor	0x28
src/game/offsets.h:77:offset	kOff_StatEntry_Cap	0x30
src/game/offsets.h:145:sig	kSig_StatCommit	48 89 5C 24 10 55 56 57 48 83 EC 20 48 8B 59 18 41 0F B7 E9 48 03 59 20 48 89 D6 48 89 CF 4C 39 C3
src/game/offsets.h:167:sig	kSig_DamageApply	48 89 5C 24 08 48 89 6C 24 10 48 89 74 24 18 57 48 83 EC 70 49 8B C1 49 8B E8 0F B7 DA 48 8B F1 4D 85 C9
src/game/offsets.h:169:sig	kSig_DamageApply_Alt	48 89 5C 24 ?? 48 89 6C 24 ?? 48 89 74 24 ?? 57 48 83 EC ?? 49 8B C1 49 8B E8 0F B7 DA 48 8B F1 4D 85 C9
src/game/offsets.h:175:sig	kSig_CombatTimingEval	48 8B C4 41 55 41 56 41 57 48 83 EC 70 C5 78 29 40 A8
src/game/offsets.h:181:sig	kSig_JustCore	48 8B C4 55 41 56 48 81 EC ?? ?? ?? ?? C5 FC 10 89
src/game/offsets.h:183:sig	kSig_JustCore_Alt	48 8B C4 55 41 56 48 81 EC ?? ?? ?? ?? 44 0F 29
src/game/offsets.h:189:offset	kOff_Marker_TargetOwner	0x18
src/game/offsets.h:235:anchors	kCharMgrAnchors	4D 8B 00 49 C1 E8 20 48 8D 54 24 78 48 8B 0D ?? ?? ?? ?? 48 8B 09 E8 | 48 8B 05 ?? ?? ?? ?? 48 8B 08 4D 8B 00 49 C1 E8 20 | 48 8B 05 ?? ?? ?? ?? 44 8B 82 90 00 00 00 48 8D 54 24 ?? 48 8B 08 E8 | 48 8B 05 ?? ?? ?? ?? 44 8B 81 58 01 00 00 48 8D 55 ?? 48 8B 08 E8 | 48 8B 05 ?? ?? ?? ?? 44 8B 81 60 01 00 00 48 8D 55 ?? 48 8B 08 E8 | 48 8B 05 ?? ?? ?? ?? 44 8B 07 48 8D 54 24 ?? 48 8B 08 E8
src/game/offsets.h:262:offset	kOff_CharMgr_ListData	0xB8
src/game/offsets.h:263:offset	kOff_CharMgr_ListCount	0xC0
src/game/offsets.h:264:offset	kCharList_MaxCount	8192
src/game/offsets.h:285:offset	kOff_Owner_Possessor	0xA0
src/game/offsets.h:286:offset	kOff_Possessor_Pawn	0xD0
src/game/offsets.h:294:offset	kOff_Owner_TypeDesc	0x88
src/game/offsets.h:303:offset	kOff_Root_StatArray	0x58
src/game/offsets.h:325:sig	kSig_MoveUpdate	48 8B C4 4C 89 48 ? 48 89 50 ? 55 41 56
src/game/offsets.h:327:offset	kOff_MoveOwner_Position	0x90
src/game/offsets.h:332:offset	kOff_MoveOwner_Velocity	0xD0
src/game/offsets.h:341:offset	kOff_MoveOwner_DesiredVel	0xC0
src/game/offsets.h:401:sig	kSig_LocoStepper_PE2944	48 8B C4 48 89 58 10 44 88 48 20 48 89 48 08 55 56 57 41 54 41 55 41 56 41 57 48 8D A8 78 F8 FF FF 48 81 EC 50 08 00 00
src/game/offsets.h:407:sig	kSig_LocoStepper	48 8B C4 48 89 58 10 44 88 48 20 48 89 48 08 55 56 57 41 54 41 55 41 56 41 57 48 8D A8 78 F8 FF FF 48 81 EC 50 08 00 00
src/game/offsets.h:410:sig	kSig_LocoStepper_Pre201	48 8B C4 48 89 58 10 44 88 48 20 55 56 57 41 54 41 55 41 56 41 57 48 8D A8 68 F8 FF FF 48 81 EC 60 08 00 00
